pokemon_name,pokedex_number,pokemon_id,classification,pokemon_height,pokemon_weight,primary_type,secondary_type,pre_evo_id,evo_details,primary_ability,primary_ability_desc,secondary_ability,secondary_ability_desc,hidden_ability,hidden_ability_desc,health_stat,attack_stat,defense_stat,special_attack_stat,special_defense_stat,speed_stat,base_stat_total
Yanma,193,293,Clear Wing Pokemon,1.2,38,Bug,Flying,,,Speed Boost,Its Speed stat is boosted every turn.,Compound Eyes,The Pokemon's compound eyes boost its accuracy.,Frisk,"When it enters a battle, the Pokemon can check an opposing Pokemon's held item.",65,65,45,75,45,95,390
Wooper,194,294,Water Fish Pokemon,0.4,8.5,Water,Ground,,,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Unaware,"When attacking, the Pokemon ignores the target Pokemon's stat changes.",55,45,45,25,25,15,210
Wooper,194,1654,Poison Fish Pokemon,0.4,11,Poison,Ground,,,Poison Point,Contact with the Pokemon may poison the attacker.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,,,55,45,45,25,25,15,210
Quagsire,195,295,Water Fish Pokemon,1.4,75,Water,Ground,294,Level 20,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Unaware,"When attacking, the Pokemon ignores the target Pokemon's stat changes.",95,85,85,65,65,35,430
Espeon,196,296,Sun Pokemon,0.9,26.5,Psychic,,228,During The Day,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",,,Magic Bounce,Reflects status moves instead of getting hit by them.,65,65,60,130,95,110,525
Umbreon,197,297,Moonlight Pokemon,1,27,Dark,,228,During The Night,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",,,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",95,65,110,60,130,65,525
Murkrow,198,298,Darkness Pokemon,0.5,2.1,Dark,Flying,,,Insomnia,The Pokemon is suffering from insomnia and cannot fall asleep.,Super Luck,The Pokemon is so lucky that the critical-hit ratios of its moves are boosted.,Prankster,Gives priority to a status move.,60,85,42,85,42,91,405
Slowking,199,299,Royal Pokemon,2,79.5,Water,Psychic,1319,King's Rock,Oblivious,"The Pokemon is oblivious, and that keeps it from being infatuated or falling for taunts.",Own Tempo,"This Pokemon has its own tempo, and that prevents it from becoming confused.",Regenerator,Restores a little HP when withdrawn from battle.,95,75,80,100,110,30,490
Slowking,199,1388,Royal Pokemon,1.8,79.5,Poison,Psychic,1366,Galarica Wreath,Curious Medicine,"When the Pokemon is brought into battle, any stat alterations of allies are removed.",Own Tempo,"This Pokemon has its own tempo, and that prevents it from becoming confused.",Regenerator,Restores a little HP when withdrawn from battle.,95,65,80,110,110,30,490
Misdreavus,200,324,Screech Pokemon,0.7,1,Ghost,,,,Levitate,"By floating in the air, the Pokemon receives full immunity to all Ground-type moves.",,,,,60,60,60,85,85,85,435
Unown,201,325,Symbol Pokemon,0.5,5,Psychic,,,,Levitate,"By floating in the air, the Pokemon receives full immunity to all Ground-type moves.",,,,,48,72,48,72,48,48,336
Wobbuffet,202,326,Patient Pokemon,1.3,28.5,Psychic,,488,Level 15,Shadow Tag,This Pokemon steps on the opposing Pokemon's shadow to prevent it from escaping.,,,Telepathy,Anticipates an ally's attack and dodges it.,190,33,58,33,58,33,405
Girafarig,203,327,Long Neck Pokemon,1.5,41.5,Normal,Psychic,,,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Early Bird,The Pokemon awakens from sleep twice as fast as other Pokemon.,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,70,80,65,90,65,85,455
Pineco,204,328,Bagworm Pokemon,0.6,7.2,Bug,,,,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",,,Overcoat,"Protects the Pokemon from things like sand, hail, and powder.",50,65,90,35,35,15,290
Forretress,205,329,Bagworm Pokemon,1.2,125.8,Bug,Steel,328,Level 31,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",,,Overcoat,"Protects the Pokemon from things like sand, hail, and powder.",75,90,140,60,60,40,465
Dunsparce,206,330,Land Snake Pokemon,1.5,14,Normal,,,,Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,Run Away,Enables a sure getaway from wild Pokemon.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokemon and boost its Speed stat.",100,70,70,65,65,45,415
Gligar,207,331,Fly Scorpion Pokemon,1.1,64.8,Ground,Flying,,,Hyper Cutter,The Pokemon's proud of its powerful pincers. They prevent other Pokemon from lowering its Attack stat.,Sand Veil,Boosts the Pokemon's evasiveness in a sandstorm.,Immunity,The immune system of the Pokemon prevents it from getting poisoned.,65,75,105,35,65,85,430
Steelix,208,332,Iron Snake Pokemon,9.2,400,Steel,Ground,1354,Metal Coat,Rock Head,Protects the Pokemon from recoil damage.,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Sheer Force,Removes additional effects to increase the power of moves when attacking.,75,85,200,55,65,30,510
Steelix,208,1383,Iron Snake Pokemon,10.5,740,Steel,Ground,,,Sand Force,"Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.",,,,,75,125,230,55,95,30,610
Snubbull,209,333,Fairy Pokemon,0.6,7.8,Fairy,,,,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Run Away,Enables a sure getaway from wild Pokemon.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokemon and boost its Speed stat.",60,80,50,40,40,30,300
Granbull,210,334,Fairy Pokemon,1.4,48.7,Fairy,,333,Level 23,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Quick Feet,Boosts the Speed stat if the Pokemon has a status condition.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokemon and boost its Speed stat.",90,120,75,60,60,45,450
Qwilfish,211,335,Balloon Pokemon,0.5,3.9,Water,Poison,,,Poison Point,Contact with the Pokemon may poison the attacker.,Swift Swim,Boosts the Pokemon's Speed stat in rain.,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",65,95,85,55,55,85,440
Qwilfish,211,1625,Balloon Pokemon,0.5,3.9,Dark,Poison,,,Poison Point,Contact with the Pokemon may poison the attacker.,Swift Swim,Boosts the Pokemon's Speed stat in rain.,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",65,95,85,55,55,85,440
Scizor,212,1384,Pincer Pokemon,2,125,Bug,Steel,,,Technician,Powers up the Pokemon's weaker moves.,,,,,70,150,140,65,100,75,600
Scizor,212,336,Pincer Pokemon,1.8,118,Bug,Steel,219,Metal Coat,Swarm,Powers up Bug-type moves when the Pokemon's HP is low.,Technician,Powers up the Pokemon's weaker moves.,Light Metal,Halves the Pokemon's weight.,70,130,100,55,80,65,500
Shuckle,213,337,Mold Pokemon,0.6,20.5,Bug,Rock,,,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Contrary,Makes stat changes have an opposite effect.,20,10,230,10,230,5,505
Heracross,214,338,Single Horn Pokemon,1.5,54,Bug,Fighting,,,Swarm,Powers up Bug-type moves when the Pokemon's HP is low.,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,Moxie,"The Pokemon shows moxie, and that boosts the Attack stat after knocking out any Pokemon.",80,125,75,40,95,85,500
Heracross,214,1395,Abundance Pokemon,1.7,62.5,Bug,Fighting,,,Skill Link,Maximizes the number of times multistrike moves hit.,,,,,80,185,115,40,105,75,600
Sneasel,215,1630,Sharp Claw Pokemon,0.9,27,Fighting,Poison,,,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,Pickpocket,Steals an item from an attacker that made direct contact.,55,95,55,35,75,115,430
Sneasel,215,339,Sharp Claw Pokemon,0.9,28,Dark,Ice,,,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,Pickpocket,Steals an item from an attacker that made direct contact.,55,95,55,35,75,115,430
Teddiursa,216,340,Little Bear Pokemon,0.6,8.8,Normal,,,,Pickup,"The Pokemon may pick up the item an opposing Pokemon used during a battle. It may pick up items outside of battle, too.",Quick Feet,Boosts the Speed stat if the Pokemon has a status condition.,Honey Gather,The Pokemon may gather Honey after a battle.,60,80,50,50,50,40,330
Ursaring,217,341,Hibernator Pokemon,1.8,125.8,Normal,,340,Level 30,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,Quick Feet,Boosts the Speed stat if the Pokemon has a status condition.,Unnerve,Unnerves opposing Pokemon and makes them unable to eat Berries.,90,130,75,75,75,55,500
Slugma,218,342,Lava Pokemon,0.7,35,Fire,,,,Magma Armor,"The Pokemon is covered with hot magma, which prevents the Pokemon from becoming frozen.",Flame Body,Contact with the Pokemon may burn the attacker.,Weak Armor,Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.,40,40,40,70,40,20,250
Magcargo,219,343,Lava Pokemon,0.8,55,Fire,Rock,342,Level 38,Magma Armor,"The Pokemon is covered with hot magma, which prevents the Pokemon from becoming frozen.",Flame Body,Contact with the Pokemon may burn the attacker.,Weak Armor,Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.,60,50,120,90,80,30,430
Swinub,220,344,Pig Pokemon,0.4,6.5,Ice,Ground,,,Oblivious,"The Pokemon is oblivious, and that keeps it from being infatuated or falling for taunts.",Snow Cloak,Boosts evasiveness in a hailstorm.,Thick Fat,"The Pokemon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",50,50,40,30,30,50,250
Piloswine,221,345,Swine Pokemon,1.1,55.8,Ice,Ground,344,Level 33,Oblivious,"The Pokemon is oblivious, and that keeps it from being infatuated or falling for taunts.",Snow Cloak,Boosts evasiveness in a hailstorm.,Thick Fat,"The Pokemon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",100,100,80,60,60,50,450
Corsola,222,346,Coral Pokemon,0.6,5,Water,Rock,,,Hustle,"Boosts the Attack stat, but lowers accuracy.",Natural Cure,All status conditions heal when the Pokemon switches out.,Regenerator,Restores a little HP when withdrawn from battle.,65,55,95,65,95,35,410
Corsola,222,1389,Coral Pokemon,0.6,0.5,Ghost,,,,Weak Armor,Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.,,,Cursed Body,May disable a move used on the Pokemon.,60,55,100,65,100,30,410
Remoraid,223,347,Jet Pokemon,0.6,12,Water,,,,Hustle,"Boosts the Attack stat, but lowers accuracy.",Sniper,Powers up moves if they become critical hits when attacking.,Moody,Raises one stat sharply and lowers another every turn.,35,65,35,65,35,65,300
Octillery,224,348,Jet Pokemon,0.9,28.5,Water,,347,Level 25,Suction Cups,This Pokemon uses suction cups to stay in one spot to negate all moves and items that force switching out.,Sniper,Powers up moves if they become critical hits when attacking.,Moody,Raises one stat sharply and lowers another every turn.,75,105,75,105,75,45,480
Delibird,225,349,Delivery Pokemon,0.9,16,Ice,Flying,,,Vital Spirit,"The Pokemon is full of vitality, and that prevents it from falling asleep.",,,Insomnia,The Pokemon is suffering from insomnia and cannot fall asleep.,45,55,45,65,45,75,330
Mantine,226,350,Kite Pokemon,2.1,220,Water,Flying,656,With Remoraid In The Party,Swift Swim,Boosts the Pokemon's Speed stat in rain.,Water Absorb,Restores HP if hit by a Water-type move instead of taking damage.,Water Veil,"The Pokemon is covered with a water veil, which prevents the Pokemon from getting a burn.",85,40,70,80,140,70,485
Skarmory,227,351,Armor Bird Pokemon,1.7,50.5,Steel,Flying,,,Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",Weak Armor,Physical attacks to the Pokemon lower its Defense stat but sharply raise its Speed stat.,65,80,140,40,70,70,465
Houndour,228,352,Dark Pokemon,0.6,10.8,Dark,Fire,,,Early Bird,The Pokemon awakens from sleep twice as fast as other Pokemon.,Flash Fire,Powers up the Pokemon's Fire-type moves if it's hit by one.,Unnerve,Unnerves opposing Pokemon and makes them unable to eat Berries.,45,60,30,80,50,65,330
Houndoom,229,353,Dark Pokemon,1.4,35,Dark,Fire,352,Level 24,Early Bird,The Pokemon awakens from sleep twice as fast as other Pokemon.,Flash Fire,Powers up the Pokemon's Fire-type moves if it's hit by one.,Unnerve,Unnerves opposing Pokemon and makes them unable to eat Berries.,75,90,50,110,80,95,500
Houndoom,229,1396,Dark Pokemon,1.9,49.5,Dark,Fire,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",,,,,75,90,90,140,90,115,600
Kingdra,230,354,Dragon Pokemon,1.8,152,Water,Dragon,213,Dragon Scale,Swift Swim,Boosts the Pokemon's Speed stat in rain.,Sniper,Powers up moves if they become critical hits when attacking.,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",75,95,95,95,95,85,540
Phanpy,231,355,Long Nose Pokemon,0.5,33.5,Ground,,,,Pickup,"The Pokemon may pick up the item an opposing Pokemon used during a battle. It may pick up items outside of battle, too.",,,Sand Veil,Boosts the Pokemon's evasiveness in a sandstorm.,90,60,60,40,40,40,330
Donphan,232,356,Armor Pokemon,1.1,120,Ground,,355,Level 25,Sturdy,"It cannot be knocked out with one hit. One-hit KO moves cannot knock it out, either.",,,Sand Veil,Boosts the Pokemon's evasiveness in a sandstorm.,90,120,120,60,60,50,500
Porygon2,233,357,Virtual Pokemon,0.6,32.5,Normal,,232,Upgrade,Trace,"When it enters a battle, the Pokemon copies an opposing Pokemon's Ability.",Download,Compares an opposing Pokemon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat—whichever will be more effective.,Analytic,Boosts move power when the Pokemon moves last.,85,80,90,105,95,60,515
Stantler,234,358,Big Horn Pokemon,1.4,71.2,Normal,,,,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Frisk,"When it enters a battle, the Pokemon can check an opposing Pokemon's held item.",Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,73,95,62,85,65,85,465
Smeargle,235,359,Painter Pokemon,1.2,58,Normal,,,,Own Tempo,"This Pokemon has its own tempo, and that prevents it from becoming confused.",Technician,Powers up the Pokemon's weaker moves.,Moody,Raises one stat sharply and lowers another every turn.,55,20,35,20,45,75,250
Tyrogue,236,360,Scuffle Pokemon,0.7,21,Fighting,,,,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,Steadfast,The Pokemon's determination boosts the Speed stat each time the Pokemon flinches.,Vital Spirit,"The Pokemon is full of vitality, and that prevents it from falling asleep.",35,35,35,35,35,35,210
Hitmontop,237,361,Handstand Pokemon,1.4,48,Fighting,,360,Level 20 With Attack = Defense,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Technician,Powers up the Pokemon's weaker moves.,Steadfast,The Pokemon's determination boosts the Speed stat each time the Pokemon flinches.,50,95,95,35,110,70,455
Smoochum,238,362,Kiss Pokemon,0.4,6,Ice,Psychic,,,Oblivious,"The Pokemon is oblivious, and that keeps it from being infatuated or falling for taunts.",Forewarn,"When it enters a battle, the Pokemon can tell one of the moves an opposing Pokemon has.",Hydration,Heals status conditions if it's raining.,45,30,15,85,65,65,305
Elekid,239,363,Electric Pokemon,0.6,23.5,Electric,,,,Static,"The Pokemon is charged with static electricity, so contact with it may cause paralysis.",,,Vital Spirit,"The Pokemon is full of vitality, and that prevents it from falling asleep.",45,63,37,65,55,95,360
Magby,240,364,Live Coal Pokemon,0.7,21.4,Fire,,,,Flame Body,Contact with the Pokemon may burn the attacker.,,,Vital Spirit,"The Pokemon is full of vitality, and that prevents it from falling asleep.",45,75,37,70,55,83,365
Miltank,241,365,Milk Cow Pokemon,1.2,75.5,Normal,,,,Thick Fat,"The Pokemon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",Scrappy,The Pokemon can hit Ghost-type Pokemon with Normal- and Fighting-type moves.,Sap Sipper,Boosts the Attack stat if hit by a Grass-type move instead of taking damage.,95,80,105,40,70,100,490
Blissey,242,366,Happiness Pokemon,1.5,46.8,Normal,,147,,Natural Cure,All status conditions heal when the Pokemon switches out.,Serene Grace,Boosts the likelihood of additional effects occurring when attacking.,Healer,Sometimes heals an ally's status condition.,255,10,10,75,135,55,540
Raikou,243,367,Thunder Pokemon,1.9,178,Electric,,,,Pressure,"By putting pressure on the opposing Pokemon, it raises their PP usage.",,,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",90,85,75,115,100,115,580
Entei,244,368,Volcano Pokemon,2.1,198,Fire,,,,Pressure,"By putting pressure on the opposing Pokemon, it raises their PP usage.",,,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",115,115,85,90,75,100,580
Suicune,245,369,Aurora Pokemon,2,187,Water,,,,Pressure,"By putting pressure on the opposing Pokemon, it raises their PP usage.",,,Inner Focus,"The Pokemon's intensely focused, and that protects the Pokemon from flinching.",100,75,115,90,115,85,580
Larvitar,246,370,Rock Skin Pokemon,0.6,72,Rock,Ground,,,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,,,Sand Veil,Boosts the Pokemon's evasiveness in a sandstorm.,50,64,50,45,50,41,300
Pupitar,247,371,Hard Shell Pokemon,1.2,152,Rock,Ground,370,Level 30,Shed Skin,The Pokemon may heal its own status conditions by shedding its skin.,,,,,70,84,70,65,70,51,410
Tyranitar,248,372,Armor Pokemon,2,202,Rock,Dark,371,Level 55,Sand Stream,The Pokemon summons a sandstorm when it enters a battle.,,,Unnerve,Unnerves opposing Pokemon and makes them unable to eat Berries.,100,134,110,95,100,61,600
Tyranitar,248,1397,Armor Bird Pokemon,2.5,255,Rock,Dark,,,Sand Stream,The Pokemon summons a sandstorm when it enters a battle.,,,,,100,164,150,95,120,71,700
Lugia,249,373,Diving Pokemon,5.2,216,Psychic,Flying,,,Pressure,"By putting pressure on the opposing Pokemon, it raises their PP usage.",,,Multiscale,Reduces the amount of damage the Pokemon takes while its HP is full.,106,90,130,90,154,110,680
Ho-Oh,250,374,Rainbow Pokemon,3.8,199,Fire,Flying,,,Pressure,"By putting pressure on the opposing Pokemon, it raises their PP usage.",,,Regenerator,Restores a little HP when withdrawn from battle.,106,130,90,110,154,90,680
Celebi,251,375,Time Travel Pokemon,0.6,5,Psychic,Grass,,,Natural Cure,All status conditions heal when the Pokemon switches out.,,,,,100,100,100,100,100,100,600
Treecko,252,380,Wood Gecko Pokemon,0.5,5,Grass,,,,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Unburden,Boosts the Speed stat if the Pokemon's held item is used or lost.,40,45,35,65,55,70,310
Grovyle,253,381,Wood Gecko Pokemon,0.9,21.6,Grass,,380,Level 16,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Unburden,Boosts the Speed stat if the Pokemon's held item is used or lost.,50,65,45,85,65,95,405
Sceptile,254,382,Forest Pokemon,1.7,52.2,Grass,,381,Level 36,Overgrow,Powers up Grass-type moves when the Pokemon's HP is low.,,,Unburden,Boosts the Speed stat if the Pokemon's held item is used or lost.,70,85,65,105,85,120,530
Sceptile,254,1428,Forest Pokemon,1.9,55.2,Grass,Dragon,,,Lightning Rod,"The Pokemon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.",,,,,70,110,75,145,85,145,630
Torchic,255,383,Chick Pokemon,0.4,2.5,Fire,,,,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Speed Boost,Its Speed stat is boosted every turn.,45,60,40,70,50,45,310
Combusken,256,384,Young Fowl Pokemon,0.9,19.5,Fire,Fighting,383,Level 16,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Speed Boost,Its Speed stat is boosted every turn.,60,85,60,85,60,55,405
Blaziken,257,385,Blaze Pokemon,1.9,52,Fire,Fighting,384,Level 36,Blaze,Powers up Fire-type moves when the Pokemon's HP is low.,,,Speed Boost,Its Speed stat is boosted every turn.,80,120,70,110,70,80,530
Blaziken,257,1429,Blaze Pokemon,1.9,52,Fire,Fighting,,,Speed Boost,Its Speed stat is boosted every turn.,,,,,80,160,80,130,80,100,630
Mudkip,258,386,Mud Fish Pokemon,0.4,7.6,Water,,,,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,,,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",50,70,50,50,50,40,310
Marshtomp,259,387,Mud Fish Pokemon,0.7,28,Water,Ground,386,Level 16,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,,,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",70,85,70,60,70,50,405
Swampert,260,388,Mud Fish Pokemon,1.5,81.9,Water,Ground,387,Level 36,Torrent,Powers up Water-type moves when the Pokemon's HP is low.,,,Damp,"Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.",100,110,90,85,90,60,535
Swampert,260,1430,Mud Fish Pokemon,1.9,102,Water,Ground,,,Swift Swim,Boosts the Pokemon's Speed stat in rain.,,,,,100,150,110,95,110,70,635
Poochyena,261,389,Bite Pokemon,0.5,13.6,Dark,,,,Run Away,Enables a sure getaway from wild Pokemon.,Quick Feet,Boosts the Speed stat if the Pokemon has a status condition.,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokemon and boost its Speed stat.",35,55,35,30,30,35,220
Mightyena,262,390,Bite Pokemon,1,37,Dark,,389,Level 18,Intimidate,"The Pokemon intimidates opposing Pokemon upon entering battle, lowering their Attack stat.",Quick Feet,Boosts the Speed stat if the Pokemon has a status condition.,Moxie,"The Pokemon shows moxie, and that boosts the Attack stat after knocking out any Pokemon.",70,90,70,60,60,70,420
Zigzagoon,263,391,Tiny Raccoon Pokemon,0.4,17.5,Normal,,,,Pickup,"The Pokemon may pick up the item an opposing Pokemon used during a battle. It may pick up items outside of battle, too.",Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Quick Feet,Boosts the Speed stat if the Pokemon has a status condition.,38,30,41,30,41,60,240
Zigzagoon,263,1466,Tiny Raccoon Pokemon,0.4,17.5,Dark,Normal,,,Pickup,"The Pokemon may pick up the item an opposing Pokemon used during a battle. It may pick up items outside of battle, too.",Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Quick Feet,Boosts the Speed stat if the Pokemon has a status condition.,38,30,41,30,41,60,240
Linoone,264,1467,Rushing Pokemon,0.5,32.5,Dark,Normal,1466,Level 20,Pickup,"The Pokemon may pick up the item an opposing Pokemon used during a battle. It may pick up items outside of battle, too.",Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Quick Feet,Boosts the Speed stat if the Pokemon has a status condition.,78,70,61,50,61,100,420
Linoone,264,392,Rushing Pokemon,0.5,32.5,Normal,,391,Level 20,Pickup,"The Pokemon may pick up the item an opposing Pokemon used during a battle. It may pick up items outside of battle, too.",Gluttony,"Makes the Pokemon eat a held Berry when its HP drops to half or less, which is sooner than usual.",Quick Feet,Boosts the Speed stat if the Pokemon has a status condition.,78,70,61,50,61,100,420
Wurmple,265,393,Worm Pokemon,0.3,3.6,Bug,,,,Shield Dust,This Pokemon's dust blocks the additional effects of attacks taken.,,,Run Away,Enables a sure getaway from wild Pokemon.,45,45,35,20,30,20,195
Silcoon,266,394,Cocoon Pokemon,0.6,10,Bug,,393,Level 7 Based On Personality Value,Shed Skin,The Pokemon may heal its own status conditions by shedding its skin.,,,,,50,35,55,25,25,15,205
Beautifly,267,395,Butterfly Pokemon,1,28.4,Bug,Flying,394,Level 10,Swarm,Powers up Bug-type moves when the Pokemon's HP is low.,,,Rivalry,"Becomes competitive and deals more damage to Pokemon of the same gender, but deals less to Pokemon of the opposite gender.",60,70,50,100,50,65,395
Cascoon,268,396,Cocoon Pokemon,0.7,11.5,Bug,,393,Level 7 Based On Personality Value,Shed Skin,The Pokemon may heal its own status conditions by shedding its skin.,,,,,50,35,55,25,25,15,205
Dustox,269,397,Poison Moth Pokemon,1.2,31.6,Bug,Poison,396,Level 10,Shield Dust,This Pokemon's dust blocks the additional effects of attacks taken.,,,Compound Eyes,The Pokemon's compound eyes boost its accuracy.,60,50,70,50,90,65,385
Lotad,270,398,Water Weed Pokemon,0.5,2.6,Water,Grass,,,Swift Swim,Boosts the Pokemon's Speed stat in rain.,Rain Dish,The Pokemon gradually regains HP in rain.,Own Tempo,"This Pokemon has its own tempo, and that prevents it from becoming confused.",40,30,30,40,50,30,220
Lombre,271,399,Jolly Pokemon,1.2,32.5,Water,Grass,398,Level 14,Swift Swim,Boosts the Pokemon's Speed stat in rain.,Rain Dish,The Pokemon gradually regains HP in rain.,Own Tempo,"This Pokemon has its own tempo, and that prevents it from becoming confused.",60,50,50,60,70,50,340
Ludicolo,272,400,Carefree Pokemon,1.5,55,Water,Grass,399,Water Stone,Swift Swim,Boosts the Pokemon's Speed stat in rain.,Rain Dish,The Pokemon gradually regains HP in rain.,Own Tempo,"This Pokemon has its own tempo, and that prevents it from becoming confused.",80,70,70,90,100,70,480
Seedot,273,401,Acorn Pokemon,0.5,4,Grass,,,,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Early Bird,The Pokemon awakens from sleep twice as fast as other Pokemon.,Pickpocket,Steals an item from an attacker that made direct contact.,40,40,50,30,30,30,220
Nuzleaf,274,402,Wily Pokemon,1,28,Grass,Dark,401,Level 14,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Early Bird,The Pokemon awakens from sleep twice as fast as other Pokemon.,Pickpocket,Steals an item from an attacker that made direct contact.,70,70,40,60,40,60,340
Shiftry,275,403,Wicked Pokemon,1.3,59.6,Grass,Dark,402,Leaf Stone,Chlorophyll,Boosts the Pokemon's Speed stat in harsh sunlight.,Early Bird,The Pokemon awakens from sleep twice as fast as other Pokemon.,Pickpocket,Steals an item from an attacker that made direct contact.,90,100,60,90,60,80,480
Taillow,276,404,Tiny Swallow Pokemon,0.3,2.3,Normal,Flying,,,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,,,Scrappy,The Pokemon can hit Ghost-type Pokemon with Normal- and Fighting-type moves.,40,55,30,30,30,85,270
Swellow,277,405,Swallow Pokemon,0.7,19.8,Normal,Flying,404,Level 22,Guts,It's so gutsy that having a status condition boosts the Pokemon's Attack stat.,,,Scrappy,The Pokemon can hit Ghost-type Pokemon with Normal- and Fighting-type moves.,60,85,60,75,50,125,455
Wingull,278,406,Seagull Pokemon,0.6,9.5,Water,Flying,,,Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,Hydration,Heals status conditions if it's raining.,Rain Dish,The Pokemon gradually regains HP in rain.,40,30,30,55,30,85,270
Pelipper,279,407,Water Bird Pokemon,1.2,28,Water,Flying,406,Level 25,Keen Eye,Keen eyes prevent other Pokemon from lowering this Pokemon's accuracy.,Drizzle,The Pokemon makes it rain when it enters a battle.,Rain Dish,The Pokemon gradually regains HP in rain.,60,50,100,95,70,65,440
Ralts,280,408,Feeling Pokemon,0.4,6.6,Psychic,Fairy,,,Synchronize,"The attacker will receive the same status condition if it inflicts a burn, poison, or paralysis to the Pokemon.",Trace,"When it enters a battle, the Pokemon copies an opposing Pokemon's Ability.",Telepathy,Anticipates an ally's attack and dodges it.,28,25,25,45,35,40,198
